date,target_prediction,target
2013-11-25,0.0034546833127293564,0.08292072935642758
2013-11-26,-0.0309903115274206,0.08403220355924801
2013-11-27,0.03285224336675263,0.0900923879215687
2013-11-29,0.031165985631702142,0.07183725216304859
2013-12-02,-0.009887911689703155,0.05244755139471424
2013-12-03,0.009527796202305705,0.04942727387990731
2013-12-04,-0.050445703741647696,0.024032303449044612
2013-12-05,0.012799736131253736,0.0268672272156516
2013-12-06,-0.034544201013566034,0.01322115143055047
2013-12-09,-0.05027927145090205,-0.01061176908519501
2013-12-10,-0.050189601744544565,-0.00699301053516177
2013-12-12,-0.035950431207507516,-0.003460211309408545
2013-12-13,-0.02832751203620265,0.006944440870531254
2013-12-16,-0.10381040564561028,-0.010380626323744258
2013-12-17,-0.0912671131020405,-0.003508774922375446
2013-12-18,-0.05682893706727754,-0.013840833758640203
2013-12-19,-0.02882619666308328,-0.023809526795491753
2013-12-20,-0.05912048148784055,-0.03460207879511901
2013-12-23,-0.04740964388650404,-0.06462585277273658
2013-12-24,-0.08830166817355245,-0.07023411680965364
2013-12-26,-0.09372717583043066,-0.07666666979349479
2013-12-27,-0.06893683624586922,-0.10927152617153046
2013-12-30,-0.06899903848749744,-0.11687242111355656
2013-12-31,-0.07993002895639567,-0.12141360882657781
2014-01-02,-0.13988741110642489,-0.0998068913220932
2014-01-03,-0.08743411981930604,-0.10937047780306863
2014-01-06,-0.08828558250325858,-0.1037239495475566
2014-01-07,-0.08320686985677028,-0.0809581788433601
2014-01-08,-0.11038604241420291,-0.07979237510172321
2014-01-09,-0.09472986885591395,-0.09071403189407345
2014-01-10,-0.05550805855060592,-0.05542923895559948
2014-01-13,-0.07692186000576062,-0.05605814649958596
