date,target_prediction,target
2014-10-24,-0.04216757409271808,-0.008733624454148492
2014-10-27,-0.060831415732231955,-0.013215859030836885
2014-10-28,-0.08191937196941024,-0.05217391304347807
2014-10-29,-0.0363513925733039,-0.0512820512820511
2014-10-30,-0.04405696760356613,-0.017241379310344862
2014-10-31,-0.031767120513937985,-0.025531914893617058
2014-11-03,-0.07885242229411721,-0.04661016949152541
2014-11-04,-0.03762831011053231,-0.017021276595744705
2014-11-05,-0.03983350695035277,-0.0423728813559322
2014-11-06,-0.055116462115150755,-0.07112970711297073
2014-11-07,-0.05954707967906647,-0.06034482758620674
2014-11-10,-0.06397328139898813,-0.07983193277310918
2014-11-12,-0.08410883765124881,-0.11392405063291144
2014-11-13,-0.05018987834655213,-0.09787234042553195
2014-11-14,-0.07217214696735194,-0.10775862068965514
